,values
532,697.0
533,719.0
534,750.0
535,755.0
536,765.0
537,766.0
538,743.0
539,712.0
540,687.0
541,680.0
542,666.0
543,669.0
544,645.0
545,633.0
546,611.0
547,641.0
548,648.0
549,642.0
550,655.0
551,660.0
552,667.0
553,652.0
554,649.0
555,626.0
556,618.0
557,643.0
558,698.0
559,745.0
560,762.0
561,719.0
562,700.0
563,683.0
564,663.0
565,654.0
566,692.0
567,702.0
568,686.0
569,678.0
570,664.0
571,655.0
572,646.0
573,646.0
574,669.0
575,689.0
576,695.0
577,714.0
578,735.0
579,751.0
580,727.0
581,669.0
582,670.0
583,679.0
584,655.0
585,654.0
586,691.0
587,771.0
588,797.0
589,786.0
590,766.0
591,737.0
592,722.0
593,700.0
594,697.0
595,718.0
596,720.0
597,751.0
598,744.0
599,754.0
600,686.0
601,697.0
602,720.0
603,752.0
604,742.0
605,802.0
606,821.0
607,823.0
608,795.0
609,740.0
610,702.0
611,705.0
612,701.0
613,690.0
614,683.0
615,736.0
616,748.0
617,741.0
618,727.0
619,712.0
620,696.0
621,678.0
622,653.0
623,632.0
624,610.0
625,641.0
626,753.0
627,740.0
628,723.0
629,738.0
630,713.0
631,697.0
632,694.0
633,695.0
634,666.0
635,659.0
636,639.0
637,666.0
638,686.0
639,695.0
640,703.0
641,712.0
642,711.0
643,720.0
644,759.0
645,740.0
646,730.0
647,764.0
648,747.0
649,736.0
650,758.0
651,739.0
652,732.0
653,700.0
654,703.0
655,710.0
656,729.0
657,757.0
658,761.0
659,747.0
660,716.0
661,697.0
662,672.0
663,677.0
664,789.0
665,814.0
666,814.0
667,825.0
668,754.0
669,761.0
670,761.0
671,749.0
672,766.0
673,776.0
674,750.0
675,771.0
676,760.0
677,767.0
678,758.0
679,762.0
680,753.0
681,747.0
682,740.0
683,749.0
684,743.0
685,749.0
686,728.0
687,740.0
688,732.0
689,692.0
690,698.0
691,723.0
692,707.0
693,740.0
694,728.0
695,730.0
696,742.0
697,746.0
698,716.0
699,704.0
700,701.0
701,701.0
702,730.0
703,725.0
704,755.0
705,769.0
706,754.0
707,745.0
708,726.0
709,667.0
710,664.0
711,689.0
712,678.0
713,765.0
714,766.0
715,709.0
716,737.0
717,741.0
718,763.0
719,750.0
720,751.0
721,746.0
722,734.0
723,744.0
724,739.0
725,750.0
726,770.0
727,772.0
728,772.0
729,756.0
730,770.0
731,770.0
732,772.0
733,780.0
734,775.0
735,784.0
736,771.0
737,776.0
738,789.0
739,786.0
740,777.0
741,755.0
742,756.0
743,748.0
744,740.0
745,733.0
746,732.0
747,754.0
748,768.0
749,782.0
750,766.0
751,760.0
752,723.0
753,732.0
754,719.0
755,683.0
756,688.0
757,704.0
758,728.0
759,724.0
760,703.0
761,682.0
762,656.0
763,677.0
764,698.0
765,698.0
766,709.0
767,721.0
768,739.0
769,716.0
770,727.0
771,741.0
772,737.0
773,719.0
774,716.0
775,725.0
776,745.0
777,760.0
778,750.0
779,750.0
780,746.0
781,748.0
782,740.0
