,Data
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.01
6,-0.01
7,-0.02
8,-0.02
9,-0.02
10,-0.01
11,0.0
12,0.02
13,0.03
14,0.04
15,0.05
16,0.04
17,0.04
18,0.02
19,0.01
20,-0.01
21,-0.02
22,-0.02
23,-0.02
24,-0.01
25,0.0
26,0.01
27,0.02
28,0.02
29,0.01
30,-0.01
31,-0.04
32,-0.07
33,-0.09
34,-0.11
35,-0.12
36,-0.11
37,-0.08
38,-0.04
39,0.0
40,0.05
41,0.1
42,0.14
43,0.16
44,0.17
45,0.16
46,0.14
47,0.1
48,0.05
49,0.0
50,-0.05
51,-0.09
52,-0.13
53,-0.16
54,-0.17
55,-0.16
56,-0.14
57,-0.11
58,-0.07
59,-0.03
60,0.02
61,0.06
62,0.1
63,0.13
64,0.14
65,0.15
66,0.14
67,0.12
68,0.1
69,0.06
70,0.03
71,-0.01
72,-0.04
73,-0.06
74,-0.08
75,-0.08
76,-0.08
77,-0.07
78,-0.05
79,-0.04
80,-0.02
81,-0.01
82,0.0
83,0.01
84,0.02
85,0.03
86,0.04
87,0.04
88,0.04
89,0.04
90,0.03
91,0.0
92,-0.02
93,-0.06
94,-0.09
95,-0.12
96,-0.14
97,-0.16
98,-0.16
99,-0.15
100,-0.13
101,-0.1
102,-0.05
103,-0.0
104,0.05
105,0.1
106,0.14
107,0.18
108,0.21
109,0.22
110,0.23
111,0.23
112,0.22
113,0.2
114,0.18
115,0.15
116,0.12
117,0.08
118,0.04
119,-0.0
120,-0.05
121,-0.09
122,-0.14
123,-0.18
124,-0.22
125,-0.25
126,-0.27
127,-0.27
128,-0.25
129,-0.22
130,-0.18
131,-0.13
132,-0.07
133,-0.02
134,0.03
135,0.06
136,0.09
137,0.1
138,0.1
139,0.1
140,0.08
141,0.06
142,0.03
143,0.01
144,-0.02
145,-0.04
146,-0.06
147,-0.06
148,-0.06
149,-0.03
150,0.0
151,0.05
152,0.11
153,0.16
154,0.21
155,0.25
156,0.26
157,0.26
158,0.23
159,0.17
160,0.1
161,0.02
162,-0.06
163,-0.13
164,-0.17
165,-0.2
166,-0.2
167,-0.18
168,-0.14
169,-0.1
170,-0.05
171,-0.01
172,0.02
173,0.04
174,0.04
175,0.02
176,0.0
177,-0.03
178,-0.05
179,-0.08
180,-0.1
181,-0.1
182,-0.1
183,-0.09
184,-0.08
185,-0.05
186,-0.03
187,-0.01
188,0.02
189,0.04
190,0.05
191,0.06
192,0.07
193,0.07
194,0.07
195,0.07
196,0.07
197,0.07
198,0.06
199,0.06
200,0.06
201,0.05
202,0.04
203,0.02
204,0.01
205,-0.01
206,-0.03
207,-0.05
208,-0.07
209,-0.09
210,-0.11
211,-0.12
212,-0.13
213,-0.13
214,-0.11
215,-0.08
216,-0.04
217,0.02
218,0.08
219,0.14
220,0.2
221,0.24
222,0.27
223,0.28
224,0.27
225,0.24
226,0.19
227,0.13
228,0.07
229,-0.0
230,-0.07
231,-0.13
232,-0.17
233,-0.21
234,-0.23
235,-0.24
236,-0.24
237,-0.24
238,-0.22
239,-0.2
240,-0.17
241,-0.14
242,-0.1
243,-0.05
244,-0.01
245,0.02
246,0.05
247,0.07
248,0.08
249,0.09
250,0.09
251,0.09
252,0.09
253,0.09
254,0.08
255,0.07
256,0.06
257,0.04
258,0.02
259,0.01
260,0.0
261,-0.0
262,0.0
263,0.01
264,0.03
265,0.05
266,0.07
267,0.09
268,0.09
269,0.09
270,0.08
271,0.07
272,0.05
273,0.03
274,0.0
275,-0.02
276,-0.04
277,-0.06
278,-0.07
279,-0.08
280,-0.08
281,-0.08
282,-0.06
283,-0.04
284,-0.02
285,0.01
286,0.03
287,0.05
288,0.05
289,0.04
290,0.02
291,-0.01
292,-0.04
293,-0.08
294,-0.12
295,-0.15
296,-0.17
297,-0.19
298,-0.19
299,-0.18
300,-0.16
301,-0.13
302,-0.08
303,-0.03
304,0.03
305,0.1
306,0.16
307,0.22
308,0.26
309,0.3
310,0.32
311,0.31
312,0.29
313,0.25
314,0.2
315,0.14
316,0.07
317,-0.0
318,-0.06
319,-0.11
320,-0.14
321,-0.16
322,-0.16
323,-0.16
324,-0.14
325,-0.12
326,-0.09
327,-0.07
328,-0.06
329,-0.05
330,-0.05
331,-0.06
332,-0.08
333,-0.11
334,-0.13
335,-0.16
336,-0.18
337,-0.19
338,-0.19
339,-0.17
340,-0.14
341,-0.09
342,-0.03
343,0.04
344,0.12
345,0.19
346,0.25
347,0.3
348,0.33
349,0.33
350,0.31
351,0.27
352,0.21
353,0.15
354,0.09
355,0.03
356,-0.01
357,-0.04
358,-0.04
359,-0.04
360,-0.02
361,-0.01
362,0.0
363,0.0
364,-0.01
365,-0.04
366,-0.08
367,-0.12
368,-0.17
369,-0.21
370,-0.24
371,-0.26
372,-0.26
373,-0.24
374,-0.21
375,-0.17
376,-0.11
377,-0.05
378,0.01
379,0.06
380,0.11
381,0.15
382,0.17
383,0.19
384,0.19
385,0.18
386,0.15
387,0.12
388,0.09
389,0.05
390,0.02
391,-0.0
392,-0.02
393,-0.03
394,-0.02
395,-0.01
396,0.01
397,0.04
398,0.06
399,0.08
400,0.09
401,0.09
402,0.08
403,0.07
404,0.04
405,0.01
406,-0.03
407,-0.07
408,-0.1
409,-0.12
410,-0.14
411,-0.13
412,-0.11
413,-0.08
414,-0.04
415,-0.0
416,0.03
417,0.04
418,0.04
419,0.02
420,-0.02
421,-0.08
422,-0.14
423,-0.2
424,-0.24
425,-0.26
426,-0.25
427,-0.21
428,-0.15
429,-0.07
430,0.03
431,0.12
432,0.21
433,0.28
434,0.33
435,0.36
436,0.37
437,0.35
438,0.3
439,0.24
440,0.17
441,0.1
442,0.02
443,-0.05
444,-0.1
445,-0.14
446,-0.16
447,-0.17
448,-0.16
449,-0.14
450,-0.11
451,-0.08
452,-0.06
453,-0.04
454,-0.02
455,-0.02
456,-0.01
457,-0.02
458,-0.03
459,-0.03
460,-0.04
461,-0.05
462,-0.05
463,-0.05
464,-0.04
465,-0.03
466,-0.01
467,0.01
468,0.03
469,0.05
470,0.06
471,0.07
472,0.06
473,0.05
474,0.03
475,-0.0
476,-0.04
477,-0.07
478,-0.1
479,-0.12
480,-0.13
481,-0.13
482,-0.11
483,-0.08
484,-0.04
485,0.0
486,0.05
487,0.1
488,0.14
489,0.17
490,0.19
491,0.2
492,0.19
493,0.17
494,0.15
495,0.12
496,0.1
497,0.07
498,0.04
499,0.02
500,-0.0
501,-0.02
502,-0.04
503,-0.06
504,-0.09
505,-0.11
506,-0.12
507,-0.13
508,-0.14
509,-0.13
510,-0.12
511,-0.09
512,-0.07
513,-0.04
514,-0.01
515,0.01
516,0.03
517,0.04
518,0.03
519,0.02
520,0.01
521,-0.02
522,-0.05
523,-0.08
524,-0.11
525,-0.13
