,Data
489,0.168
490,0.188
491,0.195
492,0.19
493,0.174
494,0.151
495,0.124
496,0.096
497,0.069
498,0.044
499,0.021
500,-0.0
501,-0.021
502,-0.042
503,-0.064
504,-0.085
505,-0.105
506,-0.122
507,-0.133
508,-0.136
509,-0.131
510,-0.117
511,-0.095
512,-0.068
513,-0.039
514,-0.012
515,0.011
516,0.028
517,0.036
518,0.034
519,0.024
520,0.006
521,-0.019
522,-0.047
523,-0.078
524,-0.107
525,-0.131
526,-0.149
527,-0.156
528,-0.15
529,-0.13
530,-0.096
531,-0.05
532,0.007
533,0.068
534,0.13
535,0.186
536,0.232
537,0.265
538,0.284
539,0.289
540,0.279
541,0.256
542,0.222
543,0.18
544,0.134
545,0.088
546,0.045
547,0.006
548,-0.027
549,-0.056
550,-0.08
551,-0.101
552,-0.119
553,-0.134
554,-0.148
555,-0.16
556,-0.17
557,-0.178
558,-0.184
559,-0.187
560,-0.187
561,-0.182
562,-0.174
563,-0.161
564,-0.144
565,-0.124
566,-0.099
567,-0.071
568,-0.04
569,-0.006
570,0.031
571,0.069
572,0.108
573,0.144
574,0.176
575,0.203
576,0.222
577,0.23
578,0.226
579,0.209
580,0.178
581,0.138
582,0.09
583,0.039
584,-0.009
585,-0.052
586,-0.086
587,-0.111
588,-0.126
589,-0.131
590,-0.127
591,-0.114
592,-0.093
593,-0.066
594,-0.034
595,0.002
596,0.039
597,0.074
598,0.107
599,0.132
600,0.15
601,0.158
602,0.157
603,0.144
604,0.119
605,0.083
606,0.036
607,-0.021
608,-0.082
609,-0.143
610,-0.198
611,-0.241
612,-0.267
613,-0.275
614,-0.263
615,-0.234
616,-0.19
617,-0.137
618,-0.079
619,-0.022
620,0.029
621,0.07
622,0.098
623,0.11
624,0.107
625,0.088
626,0.059
627,0.025
628,-0.007
629,-0.029
630,-0.036
631,-0.025
632,0.004
633,0.049
634,0.105
635,0.165
636,0.223
637,0.271
638,0.303
639,0.312
640,0.297
641,0.257
642,0.196
643,0.118
644,0.031
645,-0.055
646,-0.132
647,-0.193
648,-0.234
649,-0.25
650,-0.245
651,-0.22
652,-0.182
653,-0.137
654,-0.093
655,-0.056
656,-0.03
657,-0.021
658,-0.028
659,-0.048
660,-0.078
661,-0.112
662,-0.142
663,-0.161
664,-0.164
665,-0.15
666,-0.119
667,-0.074
668,-0.019
669,0.038
670,0.094
671,0.145
672,0.187
673,0.219
674,0.237
675,0.242
676,0.231
677,0.203
678,0.161
679,0.108
680,0.048
681,-0.012
682,-0.064
683,-0.101
684,-0.119
685,-0.114
686,-0.088
687,-0.045
688,0.007
689,0.06
690,0.103
691,0.128
692,0.131
693,0.11
694,0.069
695,0.013
696,-0.049
697,-0.107
698,-0.154
699,-0.184
700,-0.193
701,-0.182
702,-0.152
703,-0.109
704,-0.058
705,-0.007
706,0.038
707,0.07
708,0.087
709,0.087
710,0.072
711,0.047
712,0.015
713,-0.016
714,-0.043
715,-0.06
716,-0.066
717,-0.059
718,-0.039
719,-0.011
720,0.022
721,0.055
722,0.084
723,0.105
724,0.114
725,0.108
726,0.086
727,0.052
728,0.008
729,-0.04
730,-0.087
731,-0.125
732,-0.15
733,-0.16
