,Data
0,-0.0
1,-0.0001
2,-0.0005
3,-0.0017
4,-0.0043
5,-0.0084
6,-0.0134
7,-0.0177
8,-0.0195
9,-0.017
10,-0.0094
11,0.0027
12,0.0175
13,0.0319
14,0.0428
15,0.0475
16,0.045
17,0.0356
18,0.0215
19,0.0058
20,-0.0083
21,-0.018
22,-0.0217
23,-0.0189
24,-0.0106
25,0.0009
26,0.0123
27,0.0196
28,0.0192
29,0.0091
30,-0.0106
31,-0.0374
32,-0.0666
33,-0.0927
34,-0.1102
35,-0.1152
36,-0.1051
37,-0.08
38,-0.0422
39,0.004
40,0.0529
41,0.0984
42,0.1354
43,0.1595
44,0.1682
45,0.1604
46,0.1371
47,0.1007
48,0.0548
49,0.0037
50,-0.0477
51,-0.0943
52,-0.1316
53,-0.1562
54,-0.1664
55,-0.1618
56,-0.1432
57,-0.1126
58,-0.0728
59,-0.0277
60,0.0184
61,0.0613
62,0.0977
63,0.1251
64,0.142
65,0.1474
66,0.1411
67,0.1235
68,0.0962
69,0.0623
70,0.0252
71,-0.0108
72,-0.0419
73,-0.0649
74,-0.0782
75,-0.0817
76,-0.0769
77,-0.0663
78,-0.0525
79,-0.0379
80,-0.0238
81,-0.0111
82,0.0003
83,0.0107
84,0.0207
85,0.0302
86,0.0384
87,0.044
88,0.0449
89,0.0393
90,0.0257
91,0.004
92,-0.0248
93,-0.0577
94,-0.0913
95,-0.1214
96,-0.1448
97,-0.1587
98,-0.1611
99,-0.1512
100,-0.1288
101,-0.0952
102,-0.0522
103,-0.0029
104,0.0489
105,0.0989
106,0.1435
107,0.18
108,0.2067
109,0.2237
110,0.2313
111,0.2303
112,0.2213
113,0.2047
114,0.1809
115,0.1511
116,0.1167
117,0.079
118,0.0392
119,-0.0027
120,-0.0464
121,-0.0919
122,-0.1377
123,-0.1817
124,-0.2205
125,-0.2501
126,-0.2668
127,-0.2678
128,-0.252
129,-0.2207
130,-0.1768
131,-0.1251
132,-0.0706
133,-0.0185
134,0.0267
135,0.0621
136,0.0862
137,0.0991
138,0.1017
139,0.0953
140,0.0811
141,0.0603
142,0.0347
143,0.0065
144,-0.0211
145,-0.0444
146,-0.0599
147,-0.0643
148,-0.0553
149,-0.0321
150,0.0047
151,0.0525
152,0.107
153,0.1625
154,0.2119
155,0.2481
156,0.2647
157,0.2575
158,0.2252
159,0.1704
160,0.099
161,0.0195
162,-0.0583
163,-0.1251
164,-0.1734
165,-0.1987
166,-0.1999
167,-0.1796
168,-0.1433
169,-0.0978
170,-0.0508
171,-0.0093
172,0.0211
173,0.037
174,0.0377
175,0.0247
176,0.0017
177,-0.0265
178,-0.0548
179,-0.0788
180,-0.0956
181,-0.1036
182,-0.1024
183,-0.0925
184,-0.0755
185,-0.0535
186,-0.0293
187,-0.0053
188,0.0165
189,0.035
190,0.0498
191,0.0607
192,0.0679
193,0.0716
194,0.0725
195,0.0715
196,0.0694
197,0.0669
198,0.064
199,0.0604
200,0.055
201,0.0473
202,0.0368
203,0.0234
204,0.0076
205,-0.0099
206,-0.0286
207,-0.0483
208,-0.0688
209,-0.0894
210,-0.1088
211,-0.1243
212,-0.1325
213,-0.1299
214,-0.1138
215,-0.0829
216,-0.0383
217,0.0171
218,0.0786
219,0.1406
220,0.197
221,0.242
222,0.2711
223,0.2813
224,0.2713
225,0.2416
226,0.1945
227,0.1339
228,0.0653
229,-0.005
230,-0.071
231,-0.1281
232,-0.1737
233,-0.2071
234,-0.2288
235,-0.2405
236,-0.2433
237,-0.2381
238,-0.2247
239,-0.2029
240,-0.1729
241,-0.1363
242,-0.0955
243,-0.0537
244,-0.014
245,0.0206
246,0.0483
247,0.0685
248,0.0815
249,0.0887
250,0.0916
251,0.0919
252,0.0901
253,0.086
254,0.079
255,0.0687
256,0.0552
257,0.0398
258,0.0242
259,0.0105
260,0.0009
261,-0.0026
262,0.0015
263,0.0131
264,0.0307
265,0.0513
266,0.0708
267,0.0855
268,0.093
269,0.0923
270,0.0837
271,0.0685
272,0.0487
273,0.0263
274,0.003
275,-0.0197
276,-0.0407
277,-0.0591
278,-0.0735
279,-0.0824
280,-0.0841
281,-0.0776
282,-0.0627
283,-0.0409
284,-0.015
285,0.011
286,0.0325
287,0.0454
288,0.0473
289,0.0376
290,0.0174
291,-0.011
292,-0.0445
293,-0.0803
294,-0.1152
295,-0.1465
296,-0.1714
297,-0.1872
298,-0.1915
299,-0.1827
300,-0.1605
301,-0.1256
302,-0.0799
303,-0.0259
304,0.034
305,0.0968
306,0.1588
307,0.216
